name,url_pc
Apple MacBook Air M3 15 pouces (2024) Minuit 16Go/512 Go (MXD43FN/A),"https://www.ldlc.com/fiche/PB00594968.html"">"
Apple MacBook Air M3 15 pouces (2024) Minuit 24 Go/512 Go (MC9L4FN/A),"https://www.ldlc.com/fiche/PB00651928.html"">"
Apple MacBook Air M3 15 pouces (2024) Minuit 8Go/256 Go (MRYU3FN/A),"https://www.ldlc.com/fiche/PB00594960.html"">"
Apple MacBook Air M3 15 pouces (2024) Minuit 8Go/512 Go (MRYV3FN/A),"https://www.ldlc.com/fiche/PB00594964.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16Go/256 Go (MW0W3FN/A),"https://www.ldlc.com/fiche/PB00671586.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16Go/512 Go (MW0X3FN/A),"https://www.ldlc.com/fiche/PB00671590.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16Go/512 Go (MW0X3FN/A-70W),"https://www.ldlc.com/fiche/PB00675414.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 24Go/512 Go (MC654FN/A),"https://www.ldlc.com/fiche/PB00671594.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/1To (MC6U4FN/A-1TB),"https://www.ldlc.com/fiche/PB00671689.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/256 Go (MC6T4FN/A),"https://www.ldlc.com/fiche/PB00671585.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/512 Go (MC6U4FN/A),"https://www.ldlc.com/fiche/PB00671593.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 24Go/512 Go (MC6V4FN/A),"https://www.ldlc.com/fiche/PB00671597.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 16Go/256 Go (MW0Y3FN/A),"https://www.ldlc.com/fiche/PB00671587.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 16Go/512 Go (MW103FN/A),"https://www.ldlc.com/fiche/PB00671591.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 24Go/512 Go (MC6A4FN/A),"https://www.ldlc.com/fiche/PB00671595.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/256 Go (MW123FN/A),"https://www.ldlc.com/fiche/PB00671588.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/512 Go (MW133FN/A),"https://www.ldlc.com/fiche/PB00671592.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 24Go/512 Go (MC6C4FN/A),"https://www.ldlc.com/fiche/PB00671596.html"">"
Apple MacBook Air M4 15 pouces (2025) Argent 16Go/256 Go (MW1G3FN/A),"https://www.ldlc.com/fiche/PB00671601.html"">"
Apple MacBook Air M4 15 pouces (2025) Argent 16Go/512 Go (MW1H3FN/A),"https://www.ldlc.com/fiche/PB00671607.html"">"
Apple MacBook Air M4 15 pouces (2025) Argent 24Go/512 Go (MC6J4FN/A),"https://www.ldlc.com/fiche/PB00671611.html"">"
Apple MacBook Air M4 15 pouces (2025) Bleu ciel 16Go/256 Go (MC7A4FN/A),"https://www.ldlc.com/fiche/PB00671603.html"">"
Apple MacBook Air M4 15 pouces (2025) Bleu ciel 16Go/512 Go (MC7C4FN/A),"https://www.ldlc.com/fiche/PB00671606.html"">"
Apple MacBook Air M4 15 pouces (2025) Bleu ciel 24Go/512 Go (MC7D4FN/A),"https://www.ldlc.com/fiche/PB00671610.html"">"
